id_cancion;email;titulo;indice
1;lixepasuha-1174@bbddaa.com;Playlist 1;1
28;lixepasuha-1174@bbddaa.com;Playlist 1;2
50;lixepasuha-1174@bbddaa.com;Playlist 1;3
87;lixepasuha-1174@bbddaa.com;Playlist 1;4
95;lixepasuha-1174@bbddaa.com;Playlist 1;5
104;lixepasuha-1174@bbddaa.com;Playlist 1;6
84;lixepasuha-1174@bbddaa.com;Playlist 1;7
2;ceiffiwafreza-6533@bbddaa.com;Playlist 1;1
11;ceiffiwafreza-6533@bbddaa.com;Playlist 1;2
20;ceiffiwafreza-6533@bbddaa.com;Playlist 1;3
27;ceiffiwafreza-6533@bbddaa.com;Playlist 1;4
39;ceiffiwafreza-6533@bbddaa.com;Playlist 1;5
43;ceiffiwafreza-6533@bbddaa.com;Playlist 1;6
73;higuquauyeyou-7236@bbddaa.com;Lista de soul, blues;1
75;higuquauyeyou-7236@bbddaa.com;Lista de soul, blues;2
84;higuquauyeyou-7236@bbddaa.com;Lista de soul, blues;3
99;higuquauyeyou-7236@bbddaa.com;Lista de soul, blues;4
6;admin@bbddaa.com;Lista de Dire Straits;1
55;admin@bbddaa.com;Lista de Dire Straits;2
69;admin@bbddaa.com;Lista de Dire Straits;3
10;admin@bbddaa.com;Lista de Dire Straits;4
24;admin@bbddaa.com;Lista de Dire Straits;5
104;gruleixatreija-8928@bbddaa.com;Canciones aleatorias;1
103;gruleixatreija-8928@bbddaa.com;Canciones aleatorias;2
102;gruleixatreija-8928@bbddaa.com;Canciones aleatorias;3
101;gruleixatreija-8928@bbddaa.com;Canciones aleatorias;4
100;gruleixatreija-8928@bbddaa.com;Canciones aleatorias;5
99;gruleixatreija-8928@bbddaa.com;Canciones aleatorias;6
;prauvegagriffei-4787@bbddaa.com;Nueva lista de reproduccion;NULL
