token_id;direccion;estandar;blockchain;email;id_album
1;8A875218EF33A3FFCABE9B26FAAC51C1F60A31052DCE1332C57B09E4009B0EB5;erc721;ethereum;admin@bbddaa.com;7
2;9CBB7192AB86163AC7E9735188AF7E4D9E822793DDD959BA7FE42E85CEF89103;erc721;ethereum;admin@bbddaa.com;7
3;BD4327CD0C8531785658EBCF87664D51CD76BB2159AA27FDD059057EAC2EBD6E;erc721;ethereum;admin@bbddaa.com;7
4;B64CA1B9E3210F8273036BC87450F78871B202C4DAF9A561AF0614401DBA66E2;erc721;ethereum;admin@bbddaa.com;7
5;CE4BB5E0E112826E4F9E21B396F60049D6E217B75DA08A6AEE06054040C7C952;erc721;ethereum;admin@bbddaa.com;7
1;38708F733FC00E4EF5166C57F4B39E57FCB023DAF74E3F002DEA87ED6E8B3BAC;metaplex;solana;prauvegagriffei-4787@bbddaa.com;13
2;45CA9A55A36DFF64E945FB251735C73D641690AA5F8CA9FE764F0A178FD4DB75;metaplex;solana;prauvegagriffei-4787@bbddaa.com;13
3;5D387DF7BF87BE9BED9259020E1A7C5BA31558569E2C50ED285FE9BDB556F766;metaplex;solana;prauvegagriffei-4787@bbddaa.com;13
4;8A4EB5F952D08AD796017FBBD217203F57C9E0ADC6636A76DBA2F01FF6C67CA0;metaplex;solana;prauvegagriffei-4787@bbddaa.com;13
5;492FEB201BF2196C4EBE8E0C223931386805E14FACDB9EB9F9DF488C1763A0A5;metaplex;solana;prauvegagriffei-4787@bbddaa.com;13
1;09583F737139EC577D156B9ABA0451FA1C3AF23A3D7DE53E5C6C3003890904DA;bep721;binance smart chain;gruleixatreija-8928@bbddaa.com;15
2;090A9D59B51633E466D3783361484424205BB31983DC0850D48F6C60530380E1;bep721;binance smart chain;gruleixatreija-8928@bbddaa.com;15
3;6B3FA89B18250E3C08071A662949153B72A5879220708E718262EEBD1E812F8B;bep721;binance smart chain;gruleixatreija-8928@bbddaa.com;15
4;8B11EFE3ECDF5B8849E0F782E0331EC9AE68325C2CBCE646D6A7138F33667493;bep721;binance smart chain;gruleixatreija-8928@bbddaa.com;15
5;1AE8C01064590B38139F53F5EC40E45C34980FEEEDB54B5520EE0451FB326CA4;bep721;binance smart chain;gruleixatreija-8928@bbddaa.com;15
